"districts","ward","indicator","Unit","Date","Value"
"Harare Urban","Ward 20","Male Population","Persons","2022","11777"
"Harare Urban","Ward 20","Female Population","Persons","2022","12514"
"Harare Urban","Ward 20","Total Population","Persons","2022","24291"
"Harare Urban","Ward 20","Total Households","Persons","2022","6638"
"Harare Urban","Ward 20","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 46","Male Population","Persons","2022","6350"
"Harare Urban","Ward 46","Female Population","Persons","2022","6858"
"Harare Urban","Ward 46","Total Population","Persons","2022","13208"
"Harare Urban","Ward 46","Total Households","Persons","2022","3570"
"Harare Urban","Ward 46","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 45","Male Population","Persons","2022","14271"
"Harare Urban","Ward 45","Female Population","Persons","2022","16206"
"Harare Urban","Ward 45","Total Population","Persons","2022","30477"
"Harare Urban","Ward 45","Total Households","Persons","2022","8223"
"Harare Urban","Ward 45","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 44","Male Population","Persons","2022","12632"
"Harare Urban","Ward 44","Female Population","Persons","2022","14831"
"Harare Urban","Ward 44","Total Population","Persons","2022","27463"
"Harare Urban","Ward 44","Total Households","Persons","2022","6990"
"Harare Urban","Ward 44","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Ward 43","Male Population","Persons","2022","42333"
"Harare Urban","Ward 43","Female Population","Persons","2022","46954"
"Harare Urban","Ward 43","Total Population","Persons","2022","89287"
"Harare Urban","Ward 43","Total Households","Persons","2022","22797"
"Harare Urban","Ward 43","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Ward 42","Male Population","Persons","2022","33693"
"Harare Urban","Ward 42","Female Population","Persons","2022","35541"
"Harare Urban","Ward 42","Total Population","Persons","2022","69234"
"Harare Urban","Ward 42","Total Households","Persons","2022","18486"
"Harare Urban","Ward 42","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 41","Male Population","Persons","2022","25733"
"Harare Urban","Ward 41","Female Population","Persons","2022","29749"
"Harare Urban","Ward 41","Total Population","Persons","2022","55482"
"Harare Urban","Ward 41","Total Households","Persons","2022","14866"
"Harare Urban","Ward 41","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 40","Male Population","Persons","2022","34158"
"Harare Urban","Ward 40","Female Population","Persons","2022","37459"
"Harare Urban","Ward 40","Total Population","Persons","2022","71617"
"Harare Urban","Ward 40","Total Households","Persons","2022","18291"
"Harare Urban","Ward 40","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Ward 39","Male Population","Persons","2022","9512"
"Harare Urban","Ward 39","Female Population","Persons","2022","10283"
"Harare Urban","Ward 39","Total Population","Persons","2022","19795"
"Harare Urban","Ward 39","Total Households","Persons","2022","5477"
"Harare Urban","Ward 39","Average Household Size","Number of persons per household","2022","3.6"
"Harare Urban","Ward 38","Male Population","Persons","2022","14747"
"Harare Urban","Ward 38","Female Population","Persons","2022","16454"
"Harare Urban","Ward 38","Total Population","Persons","2022","31201"
"Harare Urban","Ward 38","Total Households","Persons","2022","8642"
"Harare Urban","Ward 38","Average Household Size","Number of persons per household","2022","3.6"
"Harare Urban","Ward 37","Male Population","Persons","2022","32702"
"Harare Urban","Ward 37","Female Population","Persons","2022","36336"
"Harare Urban","Ward 37","Total Population","Persons","2022","69038"
"Harare Urban","Ward 37","Total Households","Persons","2022","18815"
"Harare Urban","Ward 37","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 36","Male Population","Persons","2022","6107"
"Harare Urban","Ward 36","Female Population","Persons","2022","6859"
"Harare Urban","Ward 36","Total Population","Persons","2022","12966"
"Harare Urban","Ward 36","Total Households","Persons","2022","3253"
"Harare Urban","Ward 36","Average Household Size","Number of persons per household","2022","4"
"Harare Urban","Ward 35","Male Population","Persons","2022","9417"
"Harare Urban","Ward 35","Female Population","Persons","2022","10151"
"Harare Urban","Ward 35","Total Population","Persons","2022","19568"
"Harare Urban","Ward 35","Total Households","Persons","2022","4990"
"Harare Urban","Ward 35","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Ward 34","Male Population","Persons","2022","10278"
"Harare Urban","Ward 34","Female Population","Persons","2022","11193"
"Harare Urban","Ward 34","Total Population","Persons","2022","21471"
"Harare Urban","Ward 34","Total Households","Persons","2022","5421"
"Harare Urban","Ward 34","Average Household Size","Number of persons per household","2022","4"
"Harare Urban","Ward 33","Male Population","Persons","2022","26982"
"Harare Urban","Ward 33","Female Population","Persons","2022","29770"
"Harare Urban","Ward 33","Total Population","Persons","2022","56752"
"Harare Urban","Ward 33","Total Households","Persons","2022","15523"
"Harare Urban","Ward 33","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 32","Male Population","Persons","2022","16563"
"Harare Urban","Ward 32","Female Population","Persons","2022","18239"
"Harare Urban","Ward 32","Total Population","Persons","2022","34802"
"Harare Urban","Ward 32","Total Households","Persons","2022","9507"
"Harare Urban","Ward 32","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 31","Male Population","Persons","2022","9216"
"Harare Urban","Ward 31","Female Population","Persons","2022","10440"
"Harare Urban","Ward 31","Total Population","Persons","2022","19656"
"Harare Urban","Ward 31","Total Households","Persons","2022","5283"
"Harare Urban","Ward 31","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 30","Male Population","Persons","2022","23177"
"Harare Urban","Ward 30","Female Population","Persons","2022","25818"
"Harare Urban","Ward 30","Total Population","Persons","2022","48995"
"Harare Urban","Ward 30","Total Households","Persons","2022","13241"
"Harare Urban","Ward 30","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 29","Male Population","Persons","2022","5200"
"Harare Urban","Ward 29","Female Population","Persons","2022","5901"
"Harare Urban","Ward 29","Total Population","Persons","2022","11101"
"Harare Urban","Ward 29","Total Households","Persons","2022","2939"
"Harare Urban","Ward 29","Average Household Size","Number of persons per household","2022","3.8"
"Harare Urban","Ward 21","Male Population","Persons","2022","10935"
"Harare Urban","Ward 21","Female Population","Persons","2022","11864"
"Harare Urban","Ward 21","Total Population","Persons","2022","22799"
"Harare Urban","Ward 21","Total Households","Persons","2022","5906"
"Harare Urban","Ward 21","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Ward 22","Male Population","Persons","2022","20600"
"Harare Urban","Ward 22","Female Population","Persons","2022","24006"
"Harare Urban","Ward 22","Total Population","Persons","2022","44606"
"Harare Urban","Ward 22","Total Households","Persons","2022","11680"
"Harare Urban","Ward 22","Average Household Size","Number of persons per household","2022","3.8"
"Harare Urban","Ward 23","Male Population","Persons","2022","30015"
"Harare Urban","Ward 23","Female Population","Persons","2022","35334"
"Harare Urban","Ward 23","Total Population","Persons","2022","65349"
"Harare Urban","Ward 23","Total Households","Persons","2022","16355"
"Harare Urban","Ward 23","Average Household Size","Number of persons per household","2022","4"
"Harare Urban","Ward 24","Male Population","Persons","2022","12675"
"Harare Urban","Ward 24","Female Population","Persons","2022","13798"
"Harare Urban","Ward 24","Total Population","Persons","2022","26473"
"Harare Urban","Ward 24","Total Households","Persons","2022","7512"
"Harare Urban","Ward 24","Average Household Size","Number of persons per household","2022","3.5"
"Harare Urban","Ward 25","Male Population","Persons","2022","12200"
"Harare Urban","Ward 25","Female Population","Persons","2022","13805"
"Harare Urban","Ward 25","Total Population","Persons","2022","26005"
"Harare Urban","Ward 25","Total Households","Persons","2022","7373"
"Harare Urban","Ward 25","Average Household Size","Number of persons per household","2022","3.5"
"Harare Urban","Ward 26","Male Population","Persons","2022","15113"
"Harare Urban","Ward 26","Female Population","Persons","2022","15987"
"Harare Urban","Ward 26","Total Population","Persons","2022","31100"
"Harare Urban","Ward 26","Total Households","Persons","2022","8875"
"Harare Urban","Ward 26","Average Household Size","Number of persons per household","2022","3.5"
"Harare Urban","Ward 27","Male Population","Persons","2022","15919"
"Harare Urban","Ward 27","Female Population","Persons","2022","17587"
"Harare Urban","Ward 27","Total Population","Persons","2022","33506"
"Harare Urban","Ward 27","Total Households","Persons","2022","9176"
"Harare Urban","Ward 27","Average Household Size","Number of persons per household","2022","3.7"
"Harare Urban","Ward 28","Male Population","Persons","2022","13095"
"Harare Urban","Ward 28","Female Population","Persons","2022","14839"
"Harare Urban","Ward 28","Total Population","Persons","2022","27934"
"Harare Urban","Ward 28","Total Households","Persons","2022","7231"
"Harare Urban","Ward 28","Average Household Size","Number of persons per household","2022","3.9"
"Harare Urban","Total","Male Population","Persons","2022","710160"
"Harare Urban","Total","Female Population","Persons","2022","781580"
"Harare Urban","Total","Total Population","Persons","2022","1491740"
"Harare Urban","Total","Total Households","Persons","2022","407991"
"Harare Urban","Total","Average Household Size","Number of persons per household","2022","3.7"
